Id,SalePrice
1461,116403.38
1462,153680.92
1463,166214.73
1464,184234.48
1465,197066.45
1466,167192.16
1467,174397.55
1468,160475.81
1469,185809.12
1470,119770.414
1471,178758.36
1472,88345.164
1473,89412.31
1474,133087.42
1475,103249.79
1476,310430.22
1477,237617.97
1478,257037.62
1479,265128.62
1480,438349.53
1481,318654.06
1482,208011.36
1483,170749.94
1484,162314.05
1485,174791.0
1486,184345.56
1487,348913.03
1488,212389.52
1489,181693.61
1490,221330.1
1491,187459.8
1492,96957.055
1493,184076.08
1494,272346.84
1495,262459.2
1496,235200.62
1497,159716.06
1498,166419.03
1499,150686.6
1500,154013.98
1501,165760.73
1502,138299.88
1503,281300.97
1504,243529.62
1505,220498.33
1506,182456.77
1507,226864.86
1508,189045.06
1509,155696.22
1510,138419.42
1511,147328.78
1512,164237.7
1513,135285.53
1514,145136.53
1515,186130.14
1516,155065.25
1517,158093.95
1518,124609.4
1519,190441.3
1520,127803.484
1521,128015.74
1522,175077.45
1523,109691.51
1524,124083.234
1525,125207.516
1526,114416.11
1527,104068.625
1528,131389.45
1529,151936.11
1530,197511.05
1531,111261.336
1532,104491.586
1533,133417.58
1534,117392.234
1535,151949.3
1536,111615.02
1537,61955.234
1538,160360.77
1539,199752.38
1540,91413.0
1541,133522.33
1542,128565.08
1543,190073.33
1544,91514.35
1545,114835.77
1546,132763.4
1547,153070.97
1548,137708.67
1549,121327.37
1550,124893.87
1551,115468.875
1552,135060.06
1553,151314.17
1554,110594.54
1555,157932.11
1556,86594.016
1557,103986.98
1558,99813.555
1559,63435.855
1560,128743.36
1561,127709.914
1562,129632.766
1563,117428.51
1564,159068.97
1565,141467.42
1566,253612.64
1567,74838.54
1568,243832.44
1569,130446.93
1570,139428.45
1571,119728.61
1572,133466.44
1573,203693.33
1574,123437.38
1575,227410.95
1576,237511.03
1577,172717.88
1578,142383.61
1579,146422.8
1580,188519.34
1581,156713.38
1582,123964.95
1583,275824.6
1584,201456.95
1585,134884.75
1586,64005.934
1587,105965.57
1588,151809.23
1589,107480.75
1590,135292.11
1591,90533.34
1592,127204.13
1593,128263.2
1594,122854.4
1595,113322.13
1596,218305.52
1597,178348.14
1598,208079.4
1599,164164.72
1600,161272.98
1601,71593.94
1602,113252.875
1603,80564.01
1604,257523.94
1605,222044.69
1606,159373.27
1607,177042.94
1608,211774.66
1609,164267.77
1610,140768.55
1611,137115.81
1612,152170.45
1613,156073.38
1614,135651.16
1615,90123.984
1616,75845.11
1617,94091.72
1618,126077.91
1619,128291.336
1620,137548.28
1621,124782.79
1622,137397.77
1623,256366.11
1624,192597.8
1625,119884.69
1626,157425.48
1627,179380.66
1628,259018.78
1629,174951.61
1630,357115.1
1631,245544.08
1632,245928.88
1633,158825.83
1634,175775.1
1635,168329.36
1636,152181.05
1637,201636.48
